Bin_Range_um,,Distance_Center_um,Mn/Fe
0.0-5.0,1,2.5,0.144272035
5.0-10.0,2,7.5,0.13802168
10.0-15.0,3,12.5,0.159833394
15.0-20.0,4,17.5,0.181645108
20.0-25.0,5,22.5,0.165270793
25.0-30.0,6,27.5,0.150979396
30.0-35.0,7,32.5,0.145938095
35.0-40.0,8,37.5,0.156773995
40.0-45.0,9,42.5,0.167609895
45.0-50.0,10,47.5,0.167801082
50.0-55.0,11,52.5,0.170081604
55.0-60.0,12,57.5,0.169481471
60.0-65.0,13,62.5,0.179824348
65.0-70.0,14,67.5,0.190167224
70.0-75.0,15,72.5,0.144578478
75.0-80.0,16,77.5,0.132290688
80.0-85.0,17,82.5,0.120072363
85.0-90.0,18,87.5,0.115913947
90.0-95.0,19,92.5,0.111755531
95.0-100.0,20,97.5,0.139242098
100.0-105.0,21,102.5,0.155150613
105.0-110.0,22,107.5,0.143760271
110.0-115.0,23,112.5,0.168833752
115.0-120.0,24,117.5,0.161434798
120.0-125.0,25,122.5,0.133681237
125.0-130.0,26,127.5,0.16360447
130.0-135.0,27,132.5,0.178994574
135.0-140.0,28,137.5,0.173591397
140.0-145.0,29,142.5,0.131713579
145.0-150.0,30,147.5,0.160414622
150.0-155.0,31,152.5,0.164626434
155.0-160.0,32,157.5,0.117171592
160.0-165.0,33,162.5,0.113141614
165.0-170.0,34,167.5,0.173670376
170.0-175.0,35,172.5,0.175207922
175.0-180.0,36,177.5,0.140495338
180.0-185.0,37,182.5,0.114795532
185.0-190.0,38,187.5,0.169360917
190.0-195.0,39,192.5,0.122347862
195.0-200.0,40,197.5,0.101809765
200.0-205.0,41,202.5,0.139877985
205.0-210.0,42,207.5,0.148788105
210.0-215.0,43,212.5,0.138336527
215.0-220.0,44,217.5,0.101294186
220.0-225.0,45,222.5,0.089721963
225.0-230.0,46,227.5,0.099824152
230.0-235.0,47,232.5,0.116492413
235.0-240.0,48,237.5,0.082423019
240.0-245.0,49,242.5,0.192840624
245.0-250.0,50,247.5,0.204336023
250.0-255.0,51,252.5,0.163324694
255.0-260.0,52,257.5,0.170309264
260.0-265.0,53,262.5,0.145868199
265.0-270.0,54,267.5,0.136002657
270.0-275.0,55,272.5,0.132569757
275.0-280.0,56,277.5,0.127521559
280.0-285.0,57,282.5,0.122473361
285.0-290.0,58,287.5,0.106852256
290.0-295.0,59,292.5,0.165479449
295.0-300.0,60,297.5,0.153980703
300.0-305.0,61,302.5,0.135270698
305.0-310.0,62,307.5,0.116560694
310.0-315.0,63,312.5,0.141619535
315.0-320.0,64,317.5,0.14619532
320.0-325.0,65,322.5,0.16357085
325.0-330.0,66,327.5,0.176183614
330.0-335.0,67,332.5,0.188796378
335.0-340.0,68,337.5,0.150229981
340.0-345.0,69,342.5,0.152410931
345.0-350.0,70,347.5,0.129917531
350.0-355.0,71,352.5,0.136420728
355.0-360.0,72,357.5,0.142923924
360.0-365.0,73,362.5,0.167838722
365.0-370.0,74,367.5,0.141922312
370.0-375.0,75,372.5,0.148274599
375.0-380.0,76,377.5,0.1501025
